"YEAR","STATE.UT","SERVICES...GDP","INDUSTRY...GDP","GDP.PER.CAPITA","POPULATION","X..URBAN","NO2","SO2"
2008,"Rajasthan","47.19010975","31.40091346","27048.64877",64534000,23.7,27.5973504920515,6.4999242997729
2009,"Rajasthan","47.90048073","32.57413076","28369.31302",65650000,23.8,27.4049633848657,5.96427990235964
2010,"Rajasthan","47.03992115","29.67235812","31921.99101",66750000,23.9,30.03620605602,6.2373582242756
2011,"Rajasthan","45.9292491","32.8073404","34034.97715",67830000,23.9,29.7450514647664,6.36975455265241
2012,"Rajasthan","47.52817832","32.5424933","35659.55118",68892000,24,38.4676339285714,7.94084821428571
2013,"Rajasthan","48.61389971","31.38915741","36807.54218",69940000,24,30.6893187954595,6.43535825545171
2014,"Rajasthan","49.99434297","30.57499559","38358.64673",70969000,24.1,34.9622285174693,6.71671388101983
2004,"Tamil Nadu","57.22693484","31.6491237","34168.00112",64096000,47.1,21.078956043956,5.82233516483516
2005,"Tamil Nadu","57.26060391","31.6835656","38618.92051",64623000,48.2,27.8923753665689,10.9947214076246
2006,"Tamil Nadu","57.93681195","31.19672028","44143.65241",65135000,49.2,26.4938325991189,11.5093979441997
2007,"Tamil Nadu","59.68452284","30.5278991","46497.24969",65629000,50.3,21.5075471698113,13.1137466307278
2008,"Tamil Nadu","62.57727008","28.35394739","48678.38925",66106000,51.3,22.0284584980237,13.4227931488801
2009,"Tamil Nadu","60.35906607","30.93839961","53575.67827",66566000,52.4,21.4346428571429,10.6210714285714
2010,"Tamil Nadu","60.1917134","31.54052025","60200.5208",67012000,53.4,18.943102172835,8.14817383268239
2011,"Tamil Nadu","60.96368779","30.57156824","64236.70453",67444000,54.4,20.3728908886389,7.56580427446569
2012,"Tamil Nadu","62.52753639","30.194858","66008.01922",67862000,55.5,19.8419010669253,9.28612997090204
2013,"Tamil Nadu","63.70163376","29.01859387","70404.75353",68265000,56.5,22.0911747516072,11.4663939216832
2014,"Tamil Nadu","64.83553952","28.04130179","75080.48475",68654000,57.5,22.3386773547094,11.7895791583166
2004,"Uttar Pradesh","47.00563555","23.2556113","14789.06528",176374000,21.1,22.5115083798883,14.3235754189944
2005,"Uttar Pradesh","47.2819712","24.14343526","15449.43278",179824000,21.2,24.8662427745665,12.4291329479769
2006,"Uttar Pradesh","47.56695262","25.35147682","16380.51473",183282000,21.4,24.8895394736842,10.8154605263158
2007,"Uttar Pradesh","48.22778525","25.65203276","17253.27247",186755000,21.5,28.8342372881356,12.0436723163842
2008,"Uttar Pradesh","50.35100527","24.3061793","18119.22956",190254000,21.6,30.0287782281413,11.2316155182397
2009,"Uttar Pradesh","51.84466675","24.47173002","18962.17389",193763000,21.7,29.7554441260745,9.69684813753582
2010,"Uttar Pradesh","52.76957957","24.23944341","20089.59401",197271000,21.8,29.8820837881698,10.2343146833985
2011,"Uttar Pradesh","53.96248359","23.04225821","20840.59543",200764000,21.9,29.9594877764843,10.3545207605743
2012,"Uttar Pradesh","55.00091823","22.24898491","21669.01934",204250000,22.1,28.8642443868739,10.7220768566494
2013,"Uttar Pradesh","56.45461384","21.6131369","22360.28671",207739000,22.2,26.549083503055,9.97189409368635
2014,"Uttar Pradesh","57.65812766","20.78270447","23311.75047",211217000,22.3,28.2545133587786,10.3172423664122
2004,"West Bengal","54.4083056","21.65975195","25043.97235",83316000,28.1,53.2114583333333,8.890625
2005,"West Bengal","55.93520089","21.04959812","26316.72461",84277000,28.2,53.2601336302895,10.6648106904232
2006,"West Bengal","56.96772656","21.22816269","28055.42621",85216000,28.2,52.829010989011,6.53648351648352
2007,"West Bengal","57.4610827","21.04911351","29913.75094",86125000,28.3,55.9924160346696,6.71657638136511
2008,"West Bengal","38.07754026","19.71567551","31064.80372",86995000,28.3,64.4225388601036,7.88588082901554
2009,"West Bengal","60.18110122","20.01636485","33237.50953",87839000,28.4,58.834988179669,11.8853427895981
2010,"West Bengal","61.64861049","20.02352697","34830.32965",88669000,28.4,62.733225545675,8.5856103476152
2011,"West Bengal","63.6165949","18.74058066","36136.37918",89499000,28.5,54.9925149700599,10.8697604790419
2012,"West Bengal","63.77095137","19.27530315","38504.63131",90320000,28.5,49.6739130434783,53.4937888198758
2013,"West Bengal","64.53922032","19.12465535","40801.89636",91122000,28.6,60.5164705882353,9.46014005602241
2014,"West Bengal","65.49996384","18.74982162","43340.56897",91920000,28.6,54.9094339622642,7.11446540880503
